         3472141 function calls (3350888 primitive calls) in 10.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.241    0.241 /usr/lib/python3.8/http/client.py:1253(request)
        1    0.000    0.000    0.241    0.241 /usr/lib/python3.8/http/client.py:1258(_send_request)
        1    0.000    0.000    0.241    0.241 /usr/lib/python3.8/http/client.py:1240(endheaders)
        1    0.000    0.000    0.241    0.241 /usr/lib/python3.8/http/client.py:1002(_send_output)
        1    0.000    0.000    0.241    0.241 /usr/lib/python3.8/http/client.py:943(send)
        1    0.000    0.000    0.241    0.241 /usr/lib/python3.8/http/client.py:1415(connect)
    15286    0.023    0.000    0.239    0.000 /usr/lib/python3.8/posixpath.py:164(islink)
      107    0.007    0.000    0.235    0.002 /home/pi/.local/lib/python3.8/site-packages/scipy/stats/_distn_infrastructure.py:1900(__init__)
        1    0.000    0.000    0.234    0.234 /home/pi/.local/lib/python3.8/site-packages/pandas/core/groupby/__init__.py:1(<module>)
        1    0.000    0.000    0.232    0.232 /home/pi/.local/lib/python3.8/site-packages/pandas/core/groupby/generic.py:1(<module>)
     6784    0.015    0.000    0.232    0.000 /usr/lib/python3.8/inspect.py:606(getdoc)
        1    0.000    0.000    0.231    0.231 /home/pi/.local/lib/python3.8/site-packages/matplotlib/backend_bases.py:1(<module>)
       66    0.001    0.000    0.221    0.003 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:3129(<listcomp>)
       57    0.001    0.000    0.220    0.004 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/activation.py:394(forward)
       57    0.001    0.000    0.219    0.004 /home/pi/.local/lib/python3.8/site-packages/torch/nn/functional.py:2038(silu)
1020/1003    0.006    0.000    0.218    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
       57    0.217    0.004    0.217    0.004 {built-in method torch._C._nn.silu_}
        1    0.000    0.000    0.214    0.214 /usr/lib/python3.8/http/client.py:1304(getresponse)
        1    0.000    0.000    0.214    0.214 /usr/lib/python3.8/http/client.py:309(begin)
       34    0.000    0.000    0.212    0.006 {method 'readline' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.211    0.070 /usr/lib/python3.8/socket.py:655(readinto)
        3    0.000    0.000    0.211    0.070 /usr/lib/python3.8/ssl.py:1230(recv_into)
        3    0.000    0.000    0.211    0.070 /usr/lib/python3.8/ssl.py:1090(read)
        3    0.211    0.070    0.211    0.070 {method 'read' of '_ssl._SSLSocket' objects}
    15286    0.210    0.000    0.210    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.209    0.209 /home/pi/.local/lib/python3.8/site-packages/matplotlib/text.py:1(<module>)
      288    0.004    0.000    0.209    0.001 /usr/lib/python3.8/sre_compile.py:759(compile)
        1    0.000    0.000    0.208    0.208 /usr/lib/python3.8/http/client.py:276(_read_status)
        1    0.000    0.000    0.198    0.198 /home/pi/.local/lib/python3.8/site-packages/pandas/core/frame.py:1(<module>)
        2    0.000    0.000    0.196    0.098 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:3297(_call_aside)
        1    0.000    0.000    0.196    0.196 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:3323(_initialize_master_working_set)
        1    0.000    0.000    0.193    0.193 /usr/lib/python3.8/http/client.py:920(connect)
        1    0.000    0.000    0.193    0.193 /usr/lib/python3.8/socket.py:771(create_connection)
        1    0.000    0.000    0.192    0.192 /home/pi/.local/lib/python3.8/site-packages/scipy/spatial/_geometric_slerp.py:1(<module>)
21032/5203    0.136    0.000    0.192    0.000 /home/pi/.local/lib/python3.8/site-packages/torch/autograd/profiler_util.py:467(cuda_time_total)
        1    0.000    0.000    0.190    0.190 /home/pi/.local/lib/python3.8/site-packages/scipy/spatial/distance.py:1(<module>)
       30    0.000    0.000    0.187    0.006 /usr/lib/python3.8/dataclasses.py:1010(wrap)
       30    0.002    0.000    0.187    0.006 /usr/lib/python3.8/dataclasses.py:807(_process_class)
      213    0.002    0.000    0.185    0.001 /home/pi/.local/lib/python3.8/site-packages/matplotlib/artist.py:1426(__init__)
        1    0.000    0.000    0.181    0.181 /home/pi/.local/lib/python3.8/site-packages/matplotlib/__init__.py:1(<module>)
49081/17423    0.037    0.000    0.180    0.000 {built-in method builtins.sum}
      213    0.034    0.000    0.180    0.001 /home/pi/.local/lib/python3.8/site-packages/matplotlib/artist.py:1446(get_aliases)
      344    0.006    0.000    0.177    0.001 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:3168(__init__)
        1    0.000    0.000    0.174    0.174 /home/pi/.local/lib/python3.8/site-packages/matplotlib/collections.py:1(<module>)
