,Model,Framework,latency
502,MobileNetV2,TFLite,0.0422593799999049
503,MobileNetV2,TFLite,0.042525335999926
504,MobileNetV2,TFLite,0.0420583149999629
505,MobileNetV2,TFLite,0.042207292999933
506,MobileNetV2,TFLite,0.0421846089999462
507,MobileNetV2,TFLite,0.0422397730000057
508,MobileNetV2,TFLite,0.0421728300000268
509,MobileNetV2,TFLite,0.0423126419999562
510,MobileNetV2,TFLite,0.0421191839999437
511,MobileNetV2,TFLite,0.0421610719999989
512,MobileNetV2,TFLite,0.042233478000071
513,MobileNetV2,TFLite,0.0423201040000549
514,MobileNetV2,TFLite,0.0423187900000812
515,MobileNetV2,TFLite,0.0422669580000274
516,MobileNetV2,TFLite,0.0421918680000317
517,MobileNetV2,TFLite,0.0430390109999052
518,MobileNetV2,TFLite,0.0421210939999809
519,MobileNetV2,TFLite,0.0423450529999627
520,MobileNetV2,TFLite,0.0422001489999956
521,MobileNetV2,TFLite,0.0422292969999489
522,MobileNetV2,TFLite,0.0423203679999915
523,MobileNetV2,TFLite,0.0421854639999992
524,MobileNetV2,TFLite,0.0422879619999321
525,MobileNetV2,TFLite,0.0424995289999969
526,MobileNetV2,TFLite,0.0423760890000721
527,MobileNetV2,TFLite,0.0423585150000462
528,MobileNetV2,TFLite,0.0421870379999518
529,MobileNetV2,TFLite,0.0423272190000716
530,MobileNetV2,TFLite,0.0425158819999751
531,MobileNetV2,TFLite,0.0425360850000515
532,MobileNetV2,TFLite,0.0422125930000447
533,MobileNetV2,TFLite,0.0424767020000445
534,MobileNetV2,TFLite,0.0425801239999827
535,MobileNetV2,TFLite,0.0424943670000175
536,MobileNetV2,TFLite,0.042079101000013
537,MobileNetV2,TFLite,0.0422354109999787
538,MobileNetV2,TFLite,0.0424629609999556
539,MobileNetV2,TFLite,0.0421278950000214
540,MobileNetV2,TFLite,0.0420838410000214
541,MobileNetV2,TFLite,0.0422060229999488
542,MobileNetV2,TFLite,0.0422378560000424
543,MobileNetV2,TFLite,0.0420967109999992
544,MobileNetV2,TFLite,0.0422084860000495
545,MobileNetV2,TFLite,0.0424082949999728
546,MobileNetV2,TFLite,0.042782637000073
547,MobileNetV2,TFLite,0.0423851689999992
548,MobileNetV2,TFLite,0.0424033190000727
549,MobileNetV2,TFLite,0.0421066039999686
550,MobileNetV2,TFLite,0.0424078369999278
551,MobileNetV2,TFLite,0.0422156559999393
552,MobileNetV2,TFLite,0.0422538039999835
553,MobileNetV2,TFLite,0.0424103550000154
554,MobileNetV2,TFLite,0.0421591949999538
555,MobileNetV2,TFLite,0.0419841990000122
556,MobileNetV2,TFLite,0.0422883950000141
557,MobileNetV2,TFLite,0.0424742049999622
558,MobileNetV2,TFLite,0.0425042780000239
559,MobileNetV2,TFLite,0.0422923220000939
560,MobileNetV2,TFLite,0.0423738370000137
561,MobileNetV2,TFLite,0.0422577479999972
562,MobileNetV2,TFLite,0.0426064650000626
563,MobileNetV2,TFLite,0.0423065469999528
564,MobileNetV2,TFLite,0.0422552700000551
565,MobileNetV2,TFLite,0.04235308300008
566,MobileNetV2,TFLite,0.0424445249999507
567,MobileNetV2,TFLite,0.0420934790000728
568,MobileNetV2,TFLite,0.0421299209999688
569,MobileNetV2,TFLite,0.0422131970000236
570,MobileNetV2,TFLite,0.0422484000000622
