         2485239 function calls (2437267 primitive calls) in 18.733 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.205    0.205 /home/pi/.local/lib/python3.8/site-packages/pandas/io/pytables.py:1(<module>)
        1    0.000    0.000    0.203    0.203 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer_utils.py:15(<module>)
        1    0.000    0.000    0.201    0.201 /home/pi/.local/lib/python3.8/site-packages/pandas/core/arrays/__init__.py:1(<module>)
        1    0.000    0.000    0.200    0.200 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/utils/tf_utils.py:15(<module>)
        1    0.000    0.000    0.199    0.199 /home/pi/.local/lib/python3.8/site-packages/keras/api/keras/datasets/imdb/__init__.py:3(<module>)
        1    0.000    0.000    0.198    0.198 /home/pi/.local/lib/python3.8/site-packages/keras/datasets/imdb.py:15(<module>)
        1    0.000    0.000    0.196    0.196 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/optimizers.py:16(<module>)
        1    0.000    0.000    0.196    0.196 /home/pi/.local/lib/python3.8/site-packages/keras/preprocessing/__init__.py:15(<module>)
        1    0.000    0.000    0.195    0.195 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/distribute/coordinator/cluster_coordinator.py:15(<module>)
        1    0.000    0.000    0.191    0.191 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/iterator_ops.py:15(<module>)
        1    0.000    0.000    0.187    0.187 /home/pi/.local/lib/python3.8/site-packages/keras/preprocessing/image.py:17(<module>)
        1    0.000    0.000    0.186    0.186 /home/pi/.local/lib/python3.8/site-packages/keras/utils/feature_space.py:15(<module>)
        1    0.000    0.000    0.185    0.185 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/ops/linalg_ops_impl.py:15(<module>)
        1    0.000    0.000    0.185    0.185 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/ops/numpy_ops/np_random.py:15(<module>)
        1    0.000    0.000    0.183    0.183 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/distribute/parameter_server_strategy_v2.py:15(<module>)
        1    0.000    0.000    0.183    0.183 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/debug/wrappers/hooks.py:15(<module>)
        1    0.000    0.000    0.181    0.181 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/eager/function.py:15(<module>)
        1    0.000    0.000    0.181    0.181 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/debug/wrappers/local_cli_wrapper.py:15(<module>)
