,Model,Frameworks,inference type,Mean Latency [s],Top1,Top5,mAP,mIoU,latency,Median Latency [s],Standard Deviation [s],Variance [s²]
60,MobileNetV3 Small,OpenVINO,class,0.0206180166490017,0.7999,0.8796,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v3-small-1.0-224-tf_FP32/mobilenet-v3-small-10-224-tf_FP32_ov_class_2024_6_12_20_25_ubuntus_3_onlylat.csv,0.02059184900002715,0.00030393980886768743,9.237940741452636e-08
64,Yolov5l,Arm NN Delegate,det,3.304977297926006,,,0.361,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/delegate/yolov5l/yolov5l-fp16_delegate_det_2024_11_25_23_9_ubuntus_3_onlylat.csv,3.298866517499988,0.1977866896022088,0.03911957458380049
65,Yolov5m,Arm NN Delegate,det,1.7239822932100106,,,0.318,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/delegate/yolov5m/yolov5m-fp16_delegate_det_2024_11_26_0_5_ubuntus_3_onlylat.csv,1.7212966804997905,0.058620517329176995,0.0034363650519403403
66,Yolov5n,Arm NN Delegate,det,0.3922528115451495,,,0.154,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/delegate/yolov5n/yolov5n-fp16_delegate_det_2024_11_26_8_22_ubuntus_3_onlylat.csv,0.39155212250261684,0.00939705941018112,8.830472555847352e-05
67,Yolov5s,Arm NN Delegate,det,0.8447081222078341,,,0.238,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/delegate/yolov5s/yolov5s-fp16_delegate_det_2024_11_26_8_30_ubuntus_3_onlylat.csv,0.8435595974988246,0.02427854113557621,0.0005894475596718661
68,DeeplabV3 MobileNetV3 Large,OpenVINO,seg,1.4153439430109394,,,,69.737,/Users/marounel-chayeb/BacArbeit/final_results/results/seg/ov/deeplabv3_FP32/deeplabv3_FP32_ov_seg_2024_11_26_14_13_ubuntus_3_onlylat.csv,1.4151439690003826,0.0016749630160789982,2.805501105232454e-06
69,DeeplabV3 MobileNetV2 FP32,TFLite,seg,1.5449291518009964,,,,60.854,/Users/marounel-chayeb/BacArbeit/final_results/results/seg/tf/lite-model_deeplabv3-mobilenetv2_1_default_1/lite-model_deeplabv3-mobilenetv2_1_default_1_tf_seg_2024_11_28_23_58_ubuntus_3_onlylat.csv,1.5444635610000432,0.005181497743875113,2.6847918869782887e-05
70,DeeplabV3 MobileNetV2 FP32,Arm NN Delegate,seg,2.7991116133689538,,,,60.915,/Users/marounel-chayeb/BacArbeit/final_results/results/seg/delegate/lite-model_deeplabv3-mobilenetv2_1_default_1/lite-model_deeplabv3-mobilenetv2_1_default_1_delegate_seg_2024_11_29_7_4_ubuntus_3_onlylat.csv,2.797601531501641,0.020710127739692944,0.0004289093909943992
71,DeeplabV3 MobileNetV2 INT8,Arm NN Delegate,seg,1.1966186171500086,,,,52.034,/Users/marounel-chayeb/BacArbeit/final_results/results/seg/delegate/lite-model_deeplabv3-mobilenetv2-int8_1_default_1/lite-model_deeplabv3-mobilenetv2-int8_1_default_1_delegate_seg_2024_11_29_8_17_ubuntus_3_onlylat.csv,1.1952410625017365,0.008021455569643027,6.434374945575716e-05
72,DeeplabV3 MobileNetV2 INT8,TFLite,seg,0.6907445196309964,,,,52.651,/Users/marounel-chayeb/BacArbeit/final_results/results/seg/tf/lite-model_deeplabv3-mobilenetv2-int8_1_default_1/lite-model_deeplabv3-mobilenetv2-int8_1_default_1_tf_seg_2024_11_29_0_26_ubuntus_3_onlylat.csv,0.6906118740000693,0.0019290614705657352,3.7212781572212367e-06
73,DeeplabV3 MobileNetV3 Large,PyTorch,seg,2.140868339128039,,,,69.391,/Users/marounel-chayeb/BacArbeit/final_results/results/seg/pytorch/deeplabv3_mobilenet_v3_large/deeplabv3_mobilenet_v3_large_pytorch_seg_2024_11_26_17_8_ubuntus_3_onlylat.csv,2.1749395540009573,0.08549329919772464,0.007309104207711665
74,DeeplabV3 MobileNetV3 Large,ONNX,seg,1.314062003390004,,,,57.058,/Users/marounel-chayeb/BacArbeit/final_results/results/seg/onnx/deeplabv3_mobilenet_v3_large/deeplabv3_mobilenet_v3_large_onnx_seg_2025_4_21_14_43_ubuntus_3_onlylat.csv,1.3132449784999949,0.007275904997656007,5.2938793534915655e-05
