,latency,thread count,API,Load
157,0.1158135670000319,1,onnx,No load
158,0.1156771800000342,1,onnx,No load
159,0.1156874750000724,1,onnx,No load
160,0.1158536769999045,1,onnx,No load
161,0.1154884960000117,1,onnx,No load
162,0.1156970870000577,1,onnx,No load
163,0.1153980530000353,1,onnx,No load
164,0.1155714230000057,1,onnx,No load
165,0.115654553000013,1,onnx,No load
166,0.1155017209999869,1,onnx,No load
167,0.1155209250000552,1,onnx,No load
168,0.1159857349999811,1,onnx,No load
169,0.1156246460000147,1,onnx,No load
170,0.1156549789999417,1,onnx,No load
171,0.1154931110000916,1,onnx,No load
172,0.1157104999999774,1,onnx,No load
173,0.1156078159999651,1,onnx,No load
174,0.1153724280000005,1,onnx,No load
175,0.1157600000000229,1,onnx,No load
176,0.1156543150000288,1,onnx,No load
177,0.1154904830000305,1,onnx,No load
178,0.1157499070000085,1,onnx,No load
179,0.1156793730000345,1,onnx,No load
180,0.1157930939999687,1,onnx,No load
181,0.1156545029999733,1,onnx,No load
182,0.1155665960000078,1,onnx,No load
183,0.1161475540000083,1,onnx,No load
184,0.1159933330000058,1,onnx,No load
185,0.1157881680001082,1,onnx,No load
186,0.1154470079999328,1,onnx,No load
187,0.1156995610000422,1,onnx,No load
188,0.1154992479999919,1,onnx,No load
189,0.115610284000013,1,onnx,No load
190,0.1158031159999382,1,onnx,No load
191,0.1161124269999618,1,onnx,No load
192,0.1157791150000093,1,onnx,No load
193,0.11566148899999,1,onnx,No load
194,0.1156114530000422,1,onnx,No load
195,0.115750786000035,1,onnx,No load
196,0.11562143499998,1,onnx,No load
197,0.1158155809999925,1,onnx,No load
198,0.1157072489999109,1,onnx,No load
199,0.1157587850000254,1,onnx,No load
200,0.1155181219999121,1,onnx,No load
201,0.115793268999937,1,onnx,No load
202,0.115587086000005,1,onnx,No load
203,0.11574688099995,1,onnx,No load
204,0.1157544919999509,1,onnx,No load
205,0.1159887490000528,1,onnx,No load
206,0.1158806390000108,1,onnx,No load
